bhk,area,price_lakh,price_per_sqft,area_per_bhk,region_encoded,type_Independent House,type_Penthouse,type_Studio Apartment,type_Villa,status_Under Construction,age_Resale,age_Unknown,log_price
1,453,85.0,18763.796909492274,453.0,126.4613880545538,False,False,False,False,False,True,False,4.454347296253507
1,650,100.0,15384.615384615385,650.0,217.06325224818104,False,False,False,False,False,True,False,4.61512051684126
2,920,110.00000000000001,11956.521739130438,460.0,120.95402889865558,False,False,False,False,False,True,False,4.709530201312334
1,570,55.0,9649.122807017544,570.0,126.4613880545538,False,False,False,False,False,True,False,4.02535169073515
1,750,45.0,6000.0,750.0,80.58596431671249,False,False,False,False,False,True,False,3.828641396489095
2,500,10.0,2000.0,250.0,49.20071927664729,False,False,False,False,False,True,False,2.3978952727983707
1,677,30.0,4431.314623338257,677.0,80.92040582439022,False,False,False,False,False,True,False,3.4339872044851463
1,650,35.0,5384.615384615385,650.0,80.92040582439022,False,False,False,False,True,True,False,3.58351893845611
3,1015,245.00000000000003,24137.93103448276,338.3333333333333,188.36403431960096,False,False,False,False,True,False,False,5.505331535932363
3,1076,319.0,29646.840148698884,358.6666666666667,187.57404960126755,False,False,False,False,True,False,False,5.768320995793772
2,718,212.0,29526.462395543174,359.0,187.57404960126755,False,False,False,False,True,False,False,5.3612921657094255
2,758,224.00000000000003,29551.451187335097,379.0,187.57404960126755,False,False,False,False,True,False,False,5.41610040220442
3,991,294.0,29667.003027245206,330.3333333333333,187.57404960126755,False,False,False,False,True,False,False,5.68697535633982
2,618,182.0,29449.838187702266,309.0,187.57404960126755,False,False,False,False,True,False,False,5.209486152841421
3,1033,306.0,29622.45885769603,344.3333333333333,187.57404960126755,False,False,False,False,True,False,False,5.726847747587197
3,913,270.0,29572.836801752463,304.3333333333333,187.57404960126755,False,False,False,False,True,False,False,5.602118820879701
3,866,257.0,29676.674364896073,288.6666666666667,187.57404960126755,False,False,False,False,True,False,False,5.552959584921617
2,562,170.0,30249.110320284697,281.0,187.57404960126755,False,False,False,False,True,False,False,5.14166355650266
3,948,281.0,29641.350210970464,316.0,187.57404960126755,False,False,False,False,True,False,False,5.641907070938114
